rule_id	paper_id	paper_title	file_path	line_number	matched_text
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	30	"<uses-permission android:name=""android.permission.INTERNET""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	31	"<uses-permission android:name=""android.permission.READ_CONTACTS""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	32	"<uses-permission android:name=""android.permission.FOREGROUND_SERVICE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	35	"<uses-permission android:name=""android.permission.FLASHLIGHT""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	36	"<uses-permission-sdk-23 android:name=""android.permission.CAMERA""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	37	"<uses-permission-sdk-23 android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	41	"<uses-permission-sdk-23 android:name=""android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	42	"<uses-permission-sdk-23 android:name=""android.permission.READ_CONTACTS""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	43	"<uses-permission-sdk-23 android:name=""android.permission.SEND_SMS""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	44	"<uses-permission-sdk-23 android:name=""android.permission.READ_PHONE_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	45	"<uses-permission-sdk-23 android:name=""android.permission.READ_CALL_LOG""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	46	"<uses-permission android:name=""android.permission.RECEIVE_BOOT_COMPLETED""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	105	"<uses-permission android:name=""com.eveningoutpost.dexdrip.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	106	"<uses-permission android:name=""android.permission.CAMERA""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	37	"<uses-permission-sdk-23 android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	38	"<uses-permission-sdk-23 android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	39	"<uses-permission-sdk-23 android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	40	"<uses-permission-sdk-23 android:name=""android.permission.ACCESS_BACKGROUND_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	41	"<uses-permission-sdk-23 android:name=""android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	25	"<uses-permission android:name=""com.google.android.permission.PROVIDE_BACKGROUND""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	26	"<uses-permission android:name=""android.permission.BLUETOOTH""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	27	"<uses-permission android:name=""android.permission.BLUETOOTH_ADMIN""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	28	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	27	"<uses-permission android:name=""android.permission.BLUETOOTH_ADMIN""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	28	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	29	"<uses-permission android:name=""android.permission.READ_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	30	"<uses-permission android:name=""android.permission.INTERNET""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	36	"<uses-permission-sdk-23 android:name=""android.permission.CAMERA""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	37	"<uses-permission-sdk-23 android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	38	"<uses-permission-sdk-23 android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR006	B016	A privacy and security analysis of early-deployed COVID-19 contact tracing Android apps	resources/AndroidManifest.xml	139	"android:usesCleartextTraffic=""true"""
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/eveningoutpost/dexdrip/sharemodels/ShareRest.java	33	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/eveningoutpost/dexdrip/sharemodels/ShareRest.java	92	TrustManager[] trustManagerArr = {new X509TrustManager() { // from class: com.eveningoutpost.dexdrip.sharemodels.ShareRest.2
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/eveningoutpost/dexdrip/sharemodels/ShareRest.java	93	@Override // javax.net.ssl.X509TrustManager
